yyyymmdd,pool_code,race_no,wind
20221223,20,3,不明
20221223,20,4,不明
20221223,20,5,不明
20221223,20,6,不明
20221223,20,7,不明
20221223,20,8,不明
20221223,20,9,不明
20221223,20,10,不明
20221223,20,11,不明
20221223,20,12,不明
20221223,24,5,不明
20221223,24,6,不明
20221223,24,7,不明
20221223,24,8,不明
20221223,24,9,不明
20221223,24,10,不明
20221223,24,11,不明
20221223,24,12,不明
20221224,9,1,不明
20221224,9,2,不明
20221224,9,3,不明
20221224,9,4,不明
20221224,9,5,不明
20221224,9,6,不明
20221224,9,7,不明
20221224,9,8,不明
20221224,9,9,不明
20221224,9,10,不明
20221224,9,11,不明
20221224,9,12,不明
20230110,3,11,不明
20230110,3,12,不明
20230124,13,11,不明
20230124,13,12,不明
20230124,19,2,不明
20230124,19,3,不明
20230124,19,4,不明
20230124,19,5,不明
20230124,19,6,不明
20230124,19,7,不明
20230124,19,8,不明
20230124,19,9,不明
20230124,19,10,不明
20230124,19,11,不明
20230124,19,12,不明
20230124,20,1,不明
20230124,20,2,不明
20230124,20,3,不明
20230124,20,4,不明
20230124,20,5,不明
20230124,20,6,不明
20230124,20,7,不明
20230124,20,8,不明
20230124,20,9,不明
20230124,20,10,不明
20230124,20,11,不明
20230124,20,12,不明
20230124,21,7,不明
20230124,21,8,不明
20230124,21,9,不明
20230124,21,10,不明
20230124,21,11,不明
20230124,21,12,不明
20230124,22,1,不明
20230124,22,2,不明
20230124,22,3,不明
20230124,22,4,不明
20230124,22,5,不明
20230124,22,6,不明
20230124,22,7,不明
20230124,22,8,不明
20230124,22,9,不明
20230124,22,10,不明
20230124,22,11,不明
20230124,22,12,不明
20230127,15,5,不明
20230127,15,6,不明
20230127,15,7,不明
20230127,15,8,不明
20230127,15,9,不明
20230127,15,10,不明
20230127,15,11,不明
20230127,15,12,不明
20230127,24,7,不明
20230127,24,8,不明
20230127,24,9,不明
20230127,24,10,不明
20230127,24,11,不明
20230127,24,12,不明
20230128,15,8,不明
